项目,核心记忆架构,记忆类型覆盖,存储方案,检索策略,核心特点
OpenClaw,分层记忆（L1-L4）,短期上下文 + 长期语义 + 工具记忆 + 场景记忆,Redis + SQLite + 向量数据库（Pinecone）,混合检索（语义向量 + 关键词 + 时间衰减）,最完整；支持记忆溯源、冲突消解；但配置复杂、资源占用高
ZeroClaw,轻量分层（仅 L1+L2）,短期上下文 + 轻量长期记忆,内存映射文件（MMAP）+ 本地 KV,贪心检索（最近优先 + 关键词）,极致轻量化；无外部依赖；记忆容量有限（最大 1000 条）；适合边缘场景
NanoClaw,无分层，纯上下文 + 工具记忆,短期上下文 + 工具调用记忆,内存 + 可选 JSON 持久化,滑动窗口（固定窗口大小）,极简；无长期记忆；专注多 Agent 协作时的临时状态同步
PicoClaw,嵌入式专用（L0-L1）,极简上下文 + 设备状态记忆,片上闪存 + 轻量 KV（Badger）,固定窗口（仅保留最近 50 轮）,适配低功耗硬件；记忆压缩率 80%；仅保留核心指令 / 状态
Nanobot,复刻 OpenClaw 分层，但简化,短期 + 长期 + 工具记忆,SQLite + 本地向量库（FAISS）,语义向量检索（简化版）,Python 生态友好；支持自定义记忆插件；检索精度略低
IronClaw,安全分层记忆（加密 + 权限管控）,全类型（含审计记忆）,加密 SQLite + 隐私计算存储,权限分级检索（仅授权可见）,记忆加密存储 + 操作留痕；支持双人授权修改；金融 / 医疗合规
NullClaw,无持久化，纯内存上下文,仅短期上下文,纯内存,无检索（窗口滑动）,零依赖；启动即清空；适合一次性任务；无长期记忆能力
SuperAGI,多 Agent 共享记忆池,个体记忆 + 团队共享记忆 + 任务记忆,PostgreSQL + Pinecone,多维度检索（Agent ID + 语义 + 时间）,支持记忆共享 / 隔离；可视化记忆管理；适合团队协作任务
Paperclip,可视化记忆图谱,上下文 + 协作记忆 + 业务状态记忆,MongoDB + 向量数据库,图谱检索（关联关系优先）,记忆可视化；支持拖拽式记忆编排；适合业务流程自动化
CoPaw,中文优化分层记忆,全类型（适配中文语义）,阿里云存储 + 通义向量库,中文语义检索（优化版）,中文分词 / 语义精度高；支持本地化部署；兼容 OpenClaw 记忆格式
MaxClaw,云端托管记忆,上下文 + 用户偏好记忆,云端 KV + 向量库,偏好优先检索（用户习惯）,一键托管；无需配置；适合普通用户；记忆同步多端
EasyClaw,简化版 ZeroClaw 记忆,短期 + 轻量长期记忆,本地 KV（RocksDB）,混合检索（简化版）,比 ZeroClaw 易用；支持记忆导出 / 导入；新手友好
OpenFang,生产级记忆集群,全类型 + 集群同步记忆,分布式 KV + 向量集群,分布式检索（负载均衡）,高并发（10 万 + 记忆 / 秒）；故障自动恢复；适合大规模部署